,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
6,Pixelle Specialty Solutions LLC - Chillicothe Facility,10244,OH,Industrial CHP,ST,"BLQ, NG",Multiple,,,,Other,"map/?center=-82.974039,39.324611&level=14",-82.974039,39.324611
7,Pixelle Specialty Solutions LLC - Spring Grove Facility,50397,PA,Industrial CHP,ST,"BIT, BLQ, NG",Multiple,2573,2422,120,Other,"map/?center=-76.868117,39.870935&level=14",-76.868117,39.870935
8,Placid 12,1737,MI,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-83.4569,42.7106&level=14",-83.4569,42.7106
9,Plainfield Community Solar LLC,62579,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.9191,42.5205&level=14",-72.9191,42.5205
0,Plainfield One Solar LLC,59364,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.439444,40.605&level=14",-74.439444,40.605
1,Plainfield Pike,64116,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.553484,41.793111&level=14",-71.553484,41.793111
2,Plainfield Renewable Energy LLC,56847,CT,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,,,,Renewable Energy Sources,"map/?center=-71.92418,41.664376&level=14",-71.92418,41.664376
3,Plainfield Solar 1,64370,CT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.901,41.68&level=14",-71.901,41.68
4,Plainfield Solar 2,63263,CT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.905,41.679&level=14",-71.905,41.679
5,Plains End,55650,CO,IPP Non-CHP,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-105.225967,39.857499&level=14",-105.225967,39.857499
6,Plains End II LLC,56516,CO,IPP Non-CHP,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-105.2256,39.8586&level=14",-105.2256,39.8586
